PA,SZ,AG,Pop
Marine Parade,Katong,30_to_34,490
Marine Parade,Katong,35_to_39,720
Marine Parade,Katong,40_to_44,850
Marine Parade,Katong,45_to_49,860
Marine Parade,Katong,50_to_54,730
Marine Parade,Katong,55_to_59,670
Marine Parade,Katong,60_to_64,580
Marine Parade,Katong,65_to_69,500
Marine Parade,Katong,70_to_74,400
Marine Parade,Katong,75_to_79,220
Marine Parade,Katong,80_to_84,200
Marine Parade,Katong,85_to_89,120
Marine Parade,Katong,90_and_over,90
Marine Parade,Marina East (Mp),0_to_4,0
Marine Parade,Marina East (Mp),5_to_9,0
Marine Parade,Marina East (Mp),10_to_14,0
Marine Parade,Marina East (Mp),15_to_19,0
Marine Parade,Marina East (Mp),20_to_24,0
Marine Parade,Marina East (Mp),25_to_29,0
Marine Parade,Marina East (Mp),30_to_34,0
Marine Parade,Marina East (Mp),35_to_39,0
Marine Parade,Marina East (Mp),40_to_44,0
Marine Parade,Marina East (Mp),45_to_49,0
Marine Parade,Marina East (Mp),50_to_54,0
Marine Parade,Marina East (Mp),55_to_59,0
Marine Parade,Marina East (Mp),60_to_64,0
Marine Parade,Marina East (Mp),65_to_69,0
Marine Parade,Marina East (Mp),70_to_74,0
Marine Parade,Marina East (Mp),75_to_79,0
Marine Parade,Marina East (Mp),80_to_84,0
Marine Parade,Marina East (Mp),85_to_89,0
Marine Parade,Marina East (Mp),90_and_over,0
Marine Parade,Marine Parade,0_to_4,1020
Marine Parade,Marine Parade,5_to_9,1390
Marine Parade,Marine Parade,10_to_14,1410
Marine Parade,Marine Parade,15_to_19,1310
Marine Parade,Marine Parade,20_to_24,1310
Marine Parade,Marine Parade,25_to_29,1320
Marine Parade,Marine Parade,30_to_34,1340
Marine Parade,Marine Parade,35_to_39,1760
Marine Parade,Marine Parade,40_to_44,2100
Marine Parade,Marine Parade,45_to_49,2360
Marine Parade,Marine Parade,50_to_54,2020
Marine Parade,Marine Parade,55_to_59,1890
Marine Parade,Marine Parade,60_to_64,1760
Marine Parade,Marine Parade,65_to_69,1560
Marine Parade,Marine Parade,70_to_74,1440
Marine Parade,Marine Parade,75_to_79,1180
Marine Parade,Marine Parade,80_to_84,910
Marine Parade,Marine Parade,85_to_89,480
Marine Parade,Marine Parade,90_and_over,290
Marine Parade,Mountbatten,0_to_4,430
Marine Parade,Mountbatten,5_to_9,540
Marine Parade,Mountbatten,10_to_14,570
Marine Parade,Mountbatten,15_to_19,570
Marine Parade,Mountbatten,20_to_24,590
Marine Parade,Mountbatten,25_to_29,620
Marine Parade,Mountbatten,30_to_34,600
Marine Parade,Mountbatten,35_to_39,690
Marine Parade,Mountbatten,40_to_44,850
Marine Parade,Mountbatten,45_to_49,910
Marine Parade,Mountbatten,50_to_54,760
Marine Parade,Mountbatten,55_to_59,790
Marine Parade,Mountbatten,60_to_64,650
Marine Parade,Mountbatten,65_to_69,570
Marine Parade,Mountbatten,70_to_74,450
Marine Parade,Mountbatten,75_to_79,240
Marine Parade,Mountbatten,80_to_84,180
Marine Parade,Mountbatten,85_to_89,120
Marine Parade,Mountbatten,90_and_over,80
Museum,Bras Basah,0_to_4,0
Museum,Bras Basah,5_to_9,0
Museum,Bras Basah,10_to_14,0
Museum,Bras Basah,15_to_19,0
Museum,Bras Basah,20_to_24,0
Museum,Bras Basah,25_to_29,0
Museum,Bras Basah,30_to_34,0
Museum,Bras Basah,35_to_39,0
Museum,Bras Basah,40_to_44,0
Museum,Bras Basah,45_to_49,0
Museum,Bras Basah,50_to_54,0
Museum,Bras Basah,55_to_59,0
Museum,Bras Basah,60_to_64,0
Museum,Bras Basah,65_to_69,0
Museum,Bras Basah,70_to_74,0
Museum,Bras Basah,75_to_79,0
Museum,Bras Basah,80_to_84,0
Museum,Bras Basah,85_to_89,0
Museum,Bras Basah,90_and_over,0
Museum,Dhoby Ghaut,0_to_4,10
Museum,Dhoby Ghaut,5_to_9,20
Museum,Dhoby Ghaut,10_to_14,10
Museum,Dhoby Ghaut,15_to_19,10
Museum,Dhoby Ghaut,20_to_24,0
Museum,Dhoby Ghaut,25_to_29,20
Museum,Dhoby Ghaut,30_to_34,40
Museum,Dhoby Ghaut,35_to_39,40
Museum,Dhoby Ghaut,40_to_44,40
Museum,Dhoby Ghaut,45_to_49,30
Museum,Dhoby Ghaut,50_to_54,20
Museum,Dhoby Ghaut,55_to_59,20
Museum,Dhoby Ghaut,60_to_64,10
Museum,Dhoby Ghaut,65_to_69,10
Museum,Dhoby Ghaut,70_to_74,0
Museum,Dhoby Ghaut,75_to_79,0
Museum,Dhoby Ghaut,80_to_84,0
Museum,Dhoby Ghaut,85_to_89,0
Museum,Dhoby Ghaut,90_and_over,0
Museum,Fort Canning,0_to_4,10
Museum,Fort Canning,5_to_9,10
Museum,Fort Canning,10_to_14,20
Museum,Fort Canning,15_to_19,0
Museum,Fort Canning,20_to_24,0
Museum,Fort Canning,25_to_29,10
Museum,Fort Canning,30_to_34,0
Museum,Fort Canning,35_to_39,10
Museum,Fort Canning,40_to_44,20
Museum,Fort Canning,45_to_49,20
Museum,Fort Canning,50_to_54,20
Museum,Fort Canning,55_to_59,20
Museum,Fort Canning,60_to_64,10
Museum,Fort Canning,65_to_69,0
Museum,Fort Canning,70_to_74,0
Museum,Fort Canning,75_to_79,0
Museum,Fort Canning,80_to_84,0
Museum,Fort Canning,85_to_89,0
Museum,Fort Canning,90_and_over,0
Newton,Cairnhill,0_to_4,210
Newton,Cairnhill,5_to_9,270
Newton,Cairnhill,10_to_14,200
Newton,Cairnhill,15_to_19,160
Newton,Cairnhill,20_to_24,180
Newton,Cairnhill,25_to_29,200
Newton,Cairnhill,30_to_34,260
Newton,Cairnhill,35_to_39,300
Newton,Cairnhill,40_to_44,370
Newton,Cairnhill,45_to_49,410
Newton,Cairnhill,50_to_54,310
Newton,Cairnhill,55_to_59,270
Newton,Cairnhill,60_to_64,210
Newton,Cairnhill,65_to_69,190
Newton,Cairnhill,70_to_74,150
Newton,Cairnhill,75_to_79,80
Newton,Cairnhill,80_to_84,60
Newton,Cairnhill,85_to_89,40
Newton,Cairnhill,90_and_over,20
Newton,Goodwood Park,0_to_4,80
Newton,Goodwood Park,5_to_9,110
Newton,Goodwood Park,10_to_14,90
Newton,Goodwood Park,15_to_19,60
Newton,Goodwood Park,20_to_24,50
Newton,Goodwood Park,25_to_29,70
Newton,Goodwood Park,30_to_34,60
Newton,Goodwood Park,35_to_39,100
Newton,Goodwood Park,40_to_44,120
Newton,Goodwood Park,45_to_49,120
Newton,Goodwood Park,50_to_54,90
Newton,Goodwood Park,55_to_59,70
Newton,Goodwood Park,60_to_64,60
Newton,Goodwood Park,65_to_69,40
Newton,Goodwood Park,70_to_74,40
Newton,Goodwood Park,75_to_79,20
Newton,Goodwood Park,80_to_84,0
Newton,Goodwood Park,85_to_89,0
Newton,Goodwood Park,90_and_over,10
Newton,Istana Negara,0_to_4,0
Newton,Istana Negara,5_to_9,0
Newton,Istana Negara,10_to_14,0
Newton,Istana Negara,15_to_19,0
Newton,Istana Negara,20_to_24,0
Newton,Istana Negara,25_to_29,0
Newton,Istana Negara,30_to_34,0
Newton,Istana Negara,35_to_39,0
Newton,Istana Negara,40_to_44,0
Newton,Istana Negara,45_to_49,0
Newton,Istana Negara,50_to_54,0
Newton,Istana Negara,55_to_59,0
Newton,Istana Negara,60_to_64,0
Newton,Istana Negara,65_to_69,0
Newton,Istana Negara,70_to_74,0
Newton,Istana Negara,75_to_79,0
Newton,Istana Negara,80_to_84,0
Newton,Istana Negara,85_to_89,0
Newton,Istana Negara,90_and_over,0
Newton,Monk's Hill,0_to_4,50
Newton,Monk's Hill,5_to_9,70
Newton,Monk's Hill,10_to_14,70
Newton,Monk's Hill,15_to_19,50
Newton,Monk's Hill,20_to_24,60
Newton,Monk's Hill,25_to_29,50
Newton,Monk's Hill,30_to_34,60
Newton,Monk's Hill,35_to_39,70
Newton,Monk's Hill,40_to_44,110
Newton,Monk's Hill,45_to_49,100
Newton,Monk's Hill,50_to_54,80
Newton,Monk's Hill,55_to_59,70
Newton,Monk's Hill,60_to_64,50
Newton,Monk's Hill,65_to_69,40
Newton,Monk's Hill,70_to_74,40
Newton,Monk's Hill,75_to_79,30
Newton,Monk's Hill,80_to_84,20
Newton,Monk's Hill,85_to_89,10
Newton,Monk's Hill,90_and_over,10
Newton,Newton Circus,0_to_4,10
Newton,Newton Circus,5_to_9,20
Newton,Newton Circus,10_to_14,10
Newton,Newton Circus,15_to_19,10
Newton,Newton Circus,20_to_24,10
Newton,Newton Circus,25_to_29,0
Newton,Newton Circus,30_to_34,20
Newton,Newton Circus,35_to_39,20
Newton,Newton Circus,40_to_44,20
Newton,Newton Circus,45_to_49,20
Newton,Newton Circus,50_to_54,20
Newton,Newton Circus,55_to_59,20
Newton,Newton Circus,60_to_64,0
Newton,Newton Circus,65_to_69,10
Newton,Newton Circus,70_to_74,10
Newton,Newton Circus,75_to_79,0
Newton,Newton Circus,80_to_84,0
Newton,Newton Circus,85_to_89,0
Newton,Newton Circus,90_and_over,0
Newton,Orange Grove,0_to_4,60
Newton,Orange Grove,5_to_9,80
Newton,Orange Grove,10_to_14,100
Newton,Orange Grove,15_to_19,70
Newton,Orange Grove,20_to_24,70
Newton,Orange Grove,25_to_29,80
Newton,Orange Grove,30_to_34,90
Newton,Orange Grove,35_to_39,100
Newton,Orange Grove,40_to_44,150
Newton,Orange Grove,45_to_49,170
Newton,Orange Grove,50_to_54,160
Newton,Orange Grove,55_to_59,140
Newton,Orange Grove,60_to_64,130
Newton,Orange Grove,65_to_69,110
Newton,Orange Grove,70_to_74,90
Newton,Orange Grove,75_to_79,40
Newton,Orange Grove,80_to_84,20
Newton,Orange Grove,85_to_89,20
Newton,Orange Grove,90_and_over,0
North-Eastern Islands,North-Eastern Islands,0_to_4,0
North-Eastern Islands,North-Eastern Islands,5_to_9,0
North-Eastern Islands,North-Eastern Islands,10_to_14,0
North-Eastern Islands,North-Eastern Islands,15_to_19,0
North-Eastern Islands,North-Eastern Islands,20_to_24,0
North-Eastern Islands,North-Eastern Islands,25_to_29,0
North-Eastern Islands,North-Eastern Islands,30_to_34,0
North-Eastern Islands,North-Eastern Islands,35_to_39,0
North-Eastern Islands,North-Eastern Islands,40_to_44,0
North-Eastern Islands,North-Eastern Islands,45_to_49,0
North-Eastern Islands,North-Eastern Islands,50_to_54,0
North-Eastern Islands,North-Eastern Islands,55_to_59,0
North-Eastern Islands,North-Eastern Islands,60_to_64,0
North-Eastern Islands,North-Eastern Islands,65_to_69,0
North-Eastern Islands,North-Eastern Islands,70_to_74,0
North-Eastern Islands,North-Eastern Islands,75_to_79,0
North-Eastern Islands,North-Eastern Islands,80_to_84,0
North-Eastern Islands,North-Eastern Islands,85_to_89,0
North-Eastern Islands,North-Eastern Islands,90_and_over,0
Novena,Balestier,0_to_4,1290
Novena,Balestier,5_to_9,1490
Novena,Balestier,10_to_14,1480
Novena,Balestier,15_to_19,1440
Novena,Balestier,20_to_24,1650
Novena,Balestier,25_to_29,2100
Novena,Balestier,30_to_34,2340
Novena,Balestier,35_to_39,2470
Novena,Balestier,40_to_44,2610
Novena,Balestier,45_to_49,2790
Novena,Balestier,50_to_54,2430
Novena,Balestier,55_to_59,2340
Novena,Balestier,60_to_64,2240
Novena,Balestier,65_to_69,1900
Novena,Balestier,70_to_74,1490
Novena,Balestier,75_to_79,1140
Novena,Balestier,80_to_84,780
Novena,Balestier,85_to_89,470
Novena,Balestier,90_and_over,310
Novena,Dunearn,0_to_4,140
Novena,Dunearn,5_to_9,210
Novena,Dunearn,10_to_14,260
Novena,Dunearn,15_to_19,230
Novena,Dunearn,20_to_24,260
Novena,Dunearn,25_to_29,220
Novena,Dunearn,30_to_34,160
Novena,Dunearn,35_to_39,220
Novena,Dunearn,40_to_44,280
Novena,Dunearn,45_to_49,360
Novena,Dunearn,50_to_54,320
Novena,Dunearn,55_to_59,290
Novena,Dunearn,60_to_64,250
Novena,Dunearn,65_to_69,230
Novena,Dunearn,70_to_74,180
Novena,Dunearn,75_to_79,130
Novena,Dunearn,80_to_84,90
Novena,Dunearn,85_to_89,80
Novena,Dunearn,90_and_over,30
Novena,Malcolm,0_to_4,140
Novena,Malcolm,5_to_9,240
Novena,Malcolm,10_to_14,190
Novena,Malcolm,15_to_19,190
Novena,Malcolm,20_to_24,150
Novena,Malcolm,25_to_29,130
Novena,Malcolm,30_to_34,150
Novena,Malcolm,35_to_39,170
Novena,Malcolm,40_to_44,270
Novena,Malcolm,45_to_49,260
Novena,Malcolm,50_to_54,200
Novena,Malcolm,55_to_59,200
Novena,Malcolm,60_to_64,170
Novena,Malcolm,65_to_69,170
Novena,Malcolm,70_to_74,140
Novena,Malcolm,75_to_79,80
Novena,Malcolm,80_to_84,60
Novena,Malcolm,85_to_89,40
Novena,Malcolm,90_and_over,40
Novena,Moulmein,0_to_4,540
Novena,Moulmein,5_to_9,930
Novena,Moulmein,10_to_14,580
Novena,Moulmein,15_to_19,400
Novena,Moulmein,20_to_24,330
Novena,Moulmein,25_to_29,390
Novena,Moulmein,30_to_34,510
Novena,Moulmein,35_to_39,860
Novena,Moulmein,40_to_44,1100
Novena,Moulmein,45_to_49,950
Novena,Moulmein,50_to_54,600
Novena,Moulmein,55_to_59,480
Novena,Moulmein,60_to_64,370
Novena,Moulmein,65_to_69,330
Novena,Moulmein,70_to_74,250
Novena,Moulmein,75_to_79,160
Novena,Moulmein,80_to_84,120
Novena,Moulmein,85_to_89,70
Novena,Moulmein,90_and_over,40
Novena,Mount Pleasant,0_to_4,30
Novena,Mount Pleasant,5_to_9,30
Novena,Mount Pleasant,10_to_14,40
Novena,Mount Pleasant,15_to_19,40
Novena,Mount Pleasant,20_to_24,50
Novena,Mount Pleasant,25_to_29,60
Novena,Mount Pleasant,30_to_34,40
Novena,Mount Pleasant,35_to_39,40
Novena,Mount Pleasant,40_to_44,20
Novena,Mount Pleasant,45_to_49,40
Novena,Mount Pleasant,50_to_54,60
Novena,Mount Pleasant,55_to_59,60
Novena,Mount Pleasant,60_to_64,60
Novena,Mount Pleasant,65_to_69,50
Novena,Mount Pleasant,70_to_74,30
Novena,Mount Pleasant,75_to_79,20
Novena,Mount Pleasant,80_to_84,10
Novena,Mount Pleasant,85_to_89,10
Novena,Mount Pleasant,90_and_over,0
Orchard,Boulevard,0_to_4,20
Orchard,Boulevard,5_to_9,20
Orchard,Boulevard,10_to_14,20
Orchard,Boulevard,15_to_19,10
Orchard,Boulevard,20_to_24,10
Orchard,Boulevard,25_to_29,20
Orchard,Boulevard,30_to_34,20
Orchard,Boulevard,35_to_39,40
Orchard,Boulevard,40_to_44,40
Orchard,Boulevard,45_to_49,40
Orchard,Boulevard,50_to_54,30
Orchard,Boulevard,55_to_59,30
Orchard,Boulevard,60_to_64,30
Orchard,Boulevard,65_to_69,50
Orchard,Boulevard,70_to_74,20
Orchard,Boulevard,75_to_79,20
Orchard,Boulevard,80_to_84,10
Orchard,Boulevard,85_to_89,0
Orchard,Boulevard,90_and_over,0
Orchard,Somerset,0_to_4,10
Orchard,Somerset,5_to_9,0
Orchard,Somerset,10_to_14,0
Orchard,Somerset,15_to_19,0
Orchard,Somerset,20_to_24,10
Orchard,Somerset,25_to_29,0
Orchard,Somerset,30_to_34,10
Orchard,Somerset,35_to_39,20
Orchard,Somerset,40_to_44,20
Orchard,Somerset,45_to_49,10
Orchard,Somerset,50_to_54,20
Orchard,Somerset,55_to_59,0
Orchard,Somerset,60_to_64,10
Orchard,Somerset,65_to_69,0
Orchard,Somerset,70_to_74,0
Orchard,Somerset,75_to_79,0
Orchard,Somerset,80_to_84,0
Orchard,Somerset,85_to_89,0
Orchard,Somerset,90_and_over,0
Orchard,Tanglin,0_to_4,20
Orchard,Tanglin,5_to_9,20
Orchard,Tanglin,10_to_14,30
Orchard,Tanglin,15_to_19,20
Orchard,Tanglin,20_to_24,10
Orchard,Tanglin,25_to_29,10
Orchard,Tanglin,30_to_34,20
Orchard,Tanglin,35_to_39,30
Orchard,Tanglin,40_to_44,40
Orchard,Tanglin,45_to_49,40
Orchard,Tanglin,50_to_54,20
Orchard,Tanglin,55_to_59,40
Orchard,Tanglin,60_to_64,10
Orchard,Tanglin,65_to_69,20
Orchard,Tanglin,70_to_74,20
Orchard,Tanglin,75_to_79,10
Orchard,Tanglin,80_to_84,0
Orchard,Tanglin,85_to_89,0
Orchard,Tanglin,90_and_over,0
Outram,China Square,0_to_4,20
Outram,China Square,5_to_9,30
Outram,China Square,10_to_14,20
Outram,China Square,15_to_19,30
Outram,China Square,20_to_24,40
Outram,China Square,25_to_29,70
Outram,China Square,30_to_34,90
Outram,China Square,35_to_39,80
Outram,China Square,40_to_44,80
Outram,China Square,45_to_49,100
Outram,China Square,50_to_54,90
Outram,China Square,55_to_59,120
Outram,China Square,60_to_64,140
Outram,China Square,65_to_69,160
Outram,China Square,70_to_74,110
Outram,China Square,75_to_79,80
Outram,China Square,80_to_84,50
Outram,China Square,85_to_89,30
Outram,China Square,90_and_over,10
Outram,Chinatown,0_to_4,480
Outram,Chinatown,5_to_9,630
Outram,Chinatown,10_to_14,500
Outram,Chinatown,15_to_19,330
Outram,Chinatown,20_to_24,370
Outram,Chinatown,25_to_29,590
Outram,Chinatown,30_to_34,670
Outram,Chinatown,35_to_39,970
Outram,Chinatown,40_to_44,1200
Outram,Chinatown,45_to_49,850
Outram,Chinatown,50_to_54,720
Outram,Chinatown,55_to_59,690
Outram,Chinatown,60_to_64,670
Outram,Chinatown,65_to_69,630
Outram,Chinatown,70_to_74,520
Outram,Chinatown,75_to_79,330
Outram,Chinatown,80_to_84,280
Outram,Chinatown,85_to_89,160
Outram,Chinatown,90_and_over,170
Outram,Pearl's Hill,0_to_4,170
Outram,Pearl's Hill,5_to_9,220
Outram,Pearl's Hill,10_to_14,220
Outram,Pearl's Hill,15_to_19,230
Outram,Pearl's Hill,20_to_24,260
Outram,Pearl's Hill,25_to_29,310
Outram,Pearl's Hill,30_to_34,280
Outram,Pearl's Hill,35_to_39,280
Outram,Pearl's Hill,40_to_44,320
Outram,Pearl's Hill,45_to_49,440
Outram,Pearl's Hill,50_to_54,480
Outram,Pearl's Hill,55_to_59,620
Outram,Pearl's Hill,60_to_64,690
Outram,Pearl's Hill,65_to_69,620
Outram,Pearl's Hill,70_to_74,530
Outram,Pearl's Hill,75_to_79,390
Outram,Pearl's Hill,80_to_84,280
Outram,Pearl's Hill,85_to_89,140
Outram,Pearl's Hill,90_and_over,150
Outram,People's Park,0_to_4,0
Outram,People's Park,5_to_9,0
Outram,People's Park,10_to_14,0
Outram,People's Park,15_to_19,10
Outram,People's Park,20_to_24,10
Outram,People's Park,25_to_29,40
Outram,People's Park,30_to_34,40
Outram,People's Park,35_to_39,40
Outram,People's Park,40_to_44,20
Outram,People's Park,45_to_49,30
Outram,People's Park,50_to_54,20
Outram,People's Park,55_to_59,20
Outram,People's Park,60_to_64,20
Outram,People's Park,65_to_69,20
Outram,People's Park,70_to_74,20
Outram,People's Park,75_to_79,10
Outram,People's Park,80_to_84,10
Outram,People's Park,85_to_89,0
Outram,People's Park,90_and_over,0
Pasir Ris,Flora Drive,0_to_4,540
Pasir Ris,Flora Drive,5_to_9,680
Pasir Ris,Flora Drive,10_to_14,890
Pasir Ris,Flora Drive,15_to_19,970
Pasir Ris,Flora Drive,20_to_24,1040
Pasir Ris,Flora Drive,25_to_29,1000
Pasir Ris,Flora Drive,30_to_34,820
Pasir Ris,Flora Drive,35_to_39,970
Pasir Ris,Flora Drive,40_to_44,1330
Pasir Ris,Flora Drive,45_to_49,1340
Pasir Ris,Flora Drive,50_to_54,1260
Pasir Ris,Flora Drive,55_to_59,1160
Pasir Ris,Flora Drive,60_to_64,990
Pasir Ris,Flora Drive,65_to_69,600
Pasir Ris,Flora Drive,70_to_74,430
Pasir Ris,Flora Drive,75_to_79,260
Pasir Ris,Flora Drive,80_to_84,190
Pasir Ris,Flora Drive,85_to_89,110
Pasir Ris,Flora Drive,90_and_over,70
Pasir Ris,Loyang East,0_to_4,50
Pasir Ris,Loyang East,5_to_9,50
Pasir Ris,Loyang East,10_to_14,120
Pasir Ris,Loyang East,15_to_19,150
Pasir Ris,Loyang East,20_to_24,180
Pasir Ris,Loyang East,25_to_29,180
Pasir Ris,Loyang East,30_to_34,110
Pasir Ris,Loyang East,35_to_39,110
Pasir Ris,Loyang East,40_to_44,140
Pasir Ris,Loyang East,45_to_49,160
Pasir Ris,Loyang East,50_to_54,190
Pasir Ris,Loyang East,55_to_59,220
Pasir Ris,Loyang East,60_to_64,180
Pasir Ris,Loyang East,65_to_69,150
Pasir Ris,Loyang East,70_to_74,80
Pasir Ris,Loyang East,75_to_79,50
Pasir Ris,Loyang East,80_to_84,20
Pasir Ris,Loyang East,85_to_89,10
Pasir Ris,Loyang East,90_and_over,10
Pasir Ris,Loyang West,0_to_4,0
Pasir Ris,Loyang West,5_to_9,0
Pasir Ris,Loyang West,10_to_14,0
Pasir Ris,Loyang West,15_to_19,0
Pasir Ris,Loyang West,20_to_24,0
Pasir Ris,Loyang West,25_to_29,0
Pasir Ris,Loyang West,30_to_34,0
Pasir Ris,Loyang West,35_to_39,0
Pasir Ris,Loyang West,40_to_44,0
Pasir Ris,Loyang West,45_to_49,0
Pasir Ris,Loyang West,50_to_54,0
Pasir Ris,Loyang West,55_to_59,0
Pasir Ris,Loyang West,60_to_64,10
Pasir Ris,Loyang West,65_to_69,20
Pasir Ris,Loyang West,70_to_74,20
Pasir Ris,Loyang West,75_to_79,20
Pasir Ris,Loyang West,80_to_84,50
Pasir Ris,Loyang West,85_to_89,40
Pasir Ris,Loyang West,90_and_over,30
Pasir Ris,Pasir Ris Central,0_to_4,1810
Pasir Ris,Pasir Ris Central,5_to_9,1690
Pasir Ris,Pasir Ris Central,10_to_14,1630
Pasir Ris,Pasir Ris Central,15_to_19,1990
Pasir Ris,Pasir Ris Central,20_to_24,2560
Pasir Ris,Pasir Ris Central,25_to_29,2550
Pasir Ris,Pasir Ris Central,30_to_34,2570
Pasir Ris,Pasir Ris Central,35_to_39,2420
Pasir Ris,Pasir Ris Central,40_to_44,2220
Pasir Ris,Pasir Ris Central,45_to_49,2390
Pasir Ris,Pasir Ris Central,50_to_54,2730
Pasir Ris,Pasir Ris Central,55_to_59,2800
Pasir Ris,Pasir Ris Central,60_to_64,1960
Pasir Ris,Pasir Ris Central,65_to_69,1230
Pasir Ris,Pasir Ris Central,70_to_74,760
Pasir Ris,Pasir Ris Central,75_to_79,460
Pasir Ris,Pasir Ris Central,80_to_84,310
Pasir Ris,Pasir Ris Central,85_to_89,150
Pasir Ris,Pasir Ris Central,90_and_over,80
Pasir Ris,Pasir Ris Drive,0_to_4,1750
Pasir Ris,Pasir Ris Drive,5_to_9,2080
Pasir Ris,Pasir Ris Drive,10_to_14,2730
Pasir Ris,Pasir Ris Drive,15_to_19,3740
Pasir Ris,Pasir Ris Drive,20_to_24,5420
Pasir Ris,Pasir Ris Drive,25_to_29,5590
Pasir Ris,Pasir Ris Drive,30_to_34,3020
Pasir Ris,Pasir Ris Drive,35_to_39,2840
Pasir Ris,Pasir Ris Drive,40_to_44,3050
Pasir Ris,Pasir Ris Drive,45_to_49,3600
Pasir Ris,Pasir Ris Drive,50_to_54,5230
Pasir Ris,Pasir Ris Drive,55_to_59,5630
Pasir Ris,Pasir Ris Drive,60_to_64,4120
Pasir Ris,Pasir Ris Drive,65_to_69,2820
Pasir Ris,Pasir Ris Drive,70_to_74,1610
Pasir Ris,Pasir Ris Drive,75_to_79,920
Pasir Ris,Pasir Ris Drive,80_to_84,600
Pasir Ris,Pasir Ris Drive,85_to_89,350
Pasir Ris,Pasir Ris Drive,90_and_over,180
Pasir Ris,Pasir Ris Park,0_to_4,500
Pasir Ris,Pasir Ris Park,5_to_9,560
Pasir Ris,Pasir Ris Park,10_to_14,500
Pasir Ris,Pasir Ris Park,15_to_19,500
Pasir Ris,Pasir Ris Park,20_to_24,430
Pasir Ris,Pasir Ris Park,25_to_29,360
Pasir Ris,Pasir Ris Park,30_to_34,550
Pasir Ris,Pasir Ris Park,35_to_39,780
Pasir Ris,Pasir Ris Park,40_to_44,890
Pasir Ris,Pasir Ris Park,45_to_49,760
Pasir Ris,Pasir Ris Park,50_to_54,610
Pasir Ris,Pasir Ris Park,55_to_59,450
Pasir Ris,Pasir Ris Park,60_to_64,230
Pasir Ris,Pasir Ris Park,65_to_69,180
Pasir Ris,Pasir Ris Park,70_to_74,100
Pasir Ris,Pasir Ris Park,75_to_79,60
Pasir Ris,Pasir Ris Park,80_to_84,20
Pasir Ris,Pasir Ris Park,85_to_89,10
Pasir Ris,Pasir Ris Park,90_and_over,20
Pasir Ris,Pasir Ris Wafer Fab Park,0_to_4,0
Pasir Ris,Pasir Ris Wafer Fab Park,5_to_9,0
Pasir Ris,Pasir Ris Wafer Fab Park,10_to_14,0
Pasir Ris,Pasir Ris Wafer Fab Park,15_to_19,0
Pasir Ris,Pasir Ris Wafer Fab Park,20_to_24,0
Pasir Ris,Pasir Ris Wafer Fab Park,25_to_29,0
Pasir Ris,Pasir Ris Wafer Fab Park,30_to_34,0
Pasir Ris,Pasir Ris Wafer Fab Park,35_to_39,0
Pasir Ris,Pasir Ris Wafer Fab Park,40_to_44,0
Pasir Ris,Pasir Ris Wafer Fab Park,45_to_49,0
Pasir Ris,Pasir Ris Wafer Fab Park,50_to_54,0
Pasir Ris,Pasir Ris Wafer Fab Park,55_to_59,0
Pasir Ris,Pasir Ris Wafer Fab Park,60_to_64,0
Pasir Ris,Pasir Ris Wafer Fab Park,65_to_69,0
Pasir Ris,Pasir Ris Wafer Fab Park,70_to_74,0
Pasir Ris,Pasir Ris Wafer Fab Park,75_to_79,0
Pasir Ris,Pasir Ris Wafer Fab Park,80_to_84,0
Pasir Ris,Pasir Ris Wafer Fab Park,85_to_89,0
Pasir Ris,Pasir Ris Wafer Fab Park,90_and_over,0
Pasir Ris,Pasir Ris West,0_to_4,1280
Pasir Ris,Pasir Ris West,5_to_9,1610
Pasir Ris,Pasir Ris West,10_to_14,2060
Pasir Ris,Pasir Ris West,15_to_19,2740
Pasir Ris,Pasir Ris West,20_to_24,3540
Pasir Ris,Pasir Ris West,25_to_29,3050
Pasir Ris,Pasir Ris West,30_to_34,1860
Pasir Ris,Pasir Ris West,35_to_39,2110
Pasir Ris,Pasir Ris West,40_to_44,2460
Pasir Ris,Pasir Ris West,45_to_49,2910
Pasir Ris,Pasir Ris West,50_to_54,3830
Pasir Ris,Pasir Ris West,55_to_59,3230
Pasir Ris,Pasir Ris West,60_to_64,2150
Pasir Ris,Pasir Ris West,65_to_69,1350
Pasir Ris,Pasir Ris West,70_to_74,790
Pasir Ris,Pasir Ris West,75_to_79,510
Pasir Ris,Pasir Ris West,80_to_84,340
Pasir Ris,Pasir Ris West,85_to_89,190
Pasir Ris,Pasir Ris West,90_and_over,100
Paya Lebar,Airport Road,0_to_4,0
Paya Lebar,Airport Road,5_to_9,0
Paya Lebar,Airport Road,10_to_14,0
Paya Lebar,Airport Road,15_to_19,0
Paya Lebar,Airport Road,20_to_24,0
Paya Lebar,Airport Road,25_to_29,0
Paya Lebar,Airport Road,30_to_34,0
Paya Lebar,Airport Road,35_to_39,0
Paya Lebar,Airport Road,40_to_44,0
Paya Lebar,Airport Road,45_to_49,0
Paya Lebar,Airport Road,50_to_54,0
Paya Lebar,Airport Road,55_to_59,0
Paya Lebar,Airport Road,60_to_64,0
Paya Lebar,Airport Road,65_to_69,0
Paya Lebar,Airport Road,70_to_74,0
Paya Lebar,Airport Road,75_to_79,0
Paya Lebar,Airport Road,80_to_84,0
Paya Lebar,Airport Road,85_to_89,0
