PA,SZ,AG,Pop
Ang Mo Kio,Yio Chu Kang West,75_to_79,710
Ang Mo Kio,Yio Chu Kang West,80_to_84,420
Ang Mo Kio,Yio Chu Kang West,85_to_89,230
Ang Mo Kio,Yio Chu Kang West,90_and_over,100
Bedok,Bayshore,0_to_4,320
Bedok,Bayshore,5_to_9,470
Bedok,Bayshore,10_to_14,490
Bedok,Bayshore,15_to_19,420
Bedok,Bayshore,20_to_24,350
Bedok,Bayshore,25_to_29,330
Bedok,Bayshore,30_to_34,310
Bedok,Bayshore,35_to_39,580
Bedok,Bayshore,40_to_44,800
Bedok,Bayshore,45_to_49,860
Bedok,Bayshore,50_to_54,640
Bedok,Bayshore,55_to_59,480
Bedok,Bayshore,60_to_64,400
Bedok,Bayshore,65_to_69,350
Bedok,Bayshore,70_to_74,260
Bedok,Bayshore,75_to_79,130
Bedok,Bayshore,80_to_84,90
Bedok,Bayshore,85_to_89,40
Bedok,Bayshore,90_and_over,60
Bedok,Bedok North,0_to_4,2790
Bedok,Bedok North,5_to_9,3140
Bedok,Bedok North,10_to_14,3560
Bedok,Bedok North,15_to_19,4250
Bedok,Bedok North,20_to_24,4880
Bedok,Bedok North,25_to_29,5740
Bedok,Bedok North,30_to_34,5120
Bedok,Bedok North,35_to_39,5340
Bedok,Bedok North,40_to_44,5810
Bedok,Bedok North,45_to_49,6030
Bedok,Bedok North,50_to_54,6400
Bedok,Bedok North,55_to_59,7050
Bedok,Bedok North,60_to_64,6520
Bedok,Bedok North,65_to_69,5950
Bedok,Bedok North,70_to_74,4400
Bedok,Bedok North,75_to_79,2640
Bedok,Bedok North,80_to_84,1640
Bedok,Bedok North,85_to_89,940
Bedok,Bedok North,90_and_over,480
Bedok,Bedok Reservoir,0_to_4,1130
Bedok,Bedok Reservoir,5_to_9,1270
Bedok,Bedok Reservoir,10_to_14,1490
Bedok,Bedok Reservoir,15_to_19,1510
Bedok,Bedok Reservoir,20_to_24,1530
Bedok,Bedok Reservoir,25_to_29,1590
Bedok,Bedok Reservoir,30_to_34,1880
Bedok,Bedok Reservoir,35_to_39,1940
Bedok,Bedok Reservoir,40_to_44,2120
Bedok,Bedok Reservoir,45_to_49,2120
Bedok,Bedok Reservoir,50_to_54,1930
Bedok,Bedok Reservoir,55_to_59,1880
Bedok,Bedok Reservoir,60_to_64,1840
Bedok,Bedok Reservoir,65_to_69,1470
Bedok,Bedok Reservoir,70_to_74,890
Bedok,Bedok Reservoir,75_to_79,490
Bedok,Bedok Reservoir,80_to_84,300
Bedok,Bedok Reservoir,85_to_89,180
Bedok,Bedok Reservoir,90_and_over,70
Bedok,Bedok South,0_to_4,1490
Bedok,Bedok South,5_to_9,1820
Bedok,Bedok South,10_to_14,2200
Bedok,Bedok South,15_to_19,2440
Bedok,Bedok South,20_to_24,2850
Bedok,Bedok South,25_to_29,3300
Bedok,Bedok South,30_to_34,2870
Bedok,Bedok South,35_to_39,2830
Bedok,Bedok South,40_to_44,3160
Bedok,Bedok South,45_to_49,3540
Bedok,Bedok South,50_to_54,3580
Bedok,Bedok South,55_to_59,3850
Bedok,Bedok South,60_to_64,3760
Bedok,Bedok South,65_to_69,3380
Bedok,Bedok South,70_to_74,2570
Bedok,Bedok South,75_to_79,1680
Bedok,Bedok South,80_to_84,1220
Bedok,Bedok South,85_to_89,680
Bedok,Bedok South,90_and_over,370
Bedok,Frankel,0_to_4,1480
Bedok,Frankel,5_to_9,2050
Bedok,Frankel,10_to_14,2080
Bedok,Frankel,15_to_19,1720
Bedok,Frankel,20_to_24,1890
Bedok,Frankel,25_to_29,2050
Bedok,Frankel,30_to_34,1940
Bedok,Frankel,35_to_39,2490
Bedok,Frankel,40_to_44,2990
Bedok,Frankel,45_to_49,3130
Bedok,Frankel,50_to_54,2490
Bedok,Frankel,55_to_59,2270
Bedok,Frankel,60_to_64,2080
Bedok,Frankel,65_to_69,1940
Bedok,Frankel,70_to_74,1430
Bedok,Frankel,75_to_79,890
Bedok,Frankel,80_to_84,700
Bedok,Frankel,85_to_89,440
Bedok,Frankel,90_and_over,280
Bedok,Kaki Bukit,0_to_4,1210
Bedok,Kaki Bukit,5_to_9,1270
Bedok,Kaki Bukit,10_to_14,1650
Bedok,Kaki Bukit,15_to_19,2080
Bedok,Kaki Bukit,20_to_24,2690
Bedok,Kaki Bukit,25_to_29,3310
Bedok,Kaki Bukit,30_to_34,2760
Bedok,Kaki Bukit,35_to_39,2270
Bedok,Kaki Bukit,40_to_44,2320
Bedok,Kaki Bukit,45_to_49,2520
Bedok,Kaki Bukit,50_to_54,2630
Bedok,Kaki Bukit,55_to_59,3490
Bedok,Kaki Bukit,60_to_64,3460
Bedok,Kaki Bukit,65_to_69,2600
Bedok,Kaki Bukit,70_to_74,1700
Bedok,Kaki Bukit,75_to_79,870
Bedok,Kaki Bukit,80_to_84,550
Bedok,Kaki Bukit,85_to_89,230
Bedok,Kaki Bukit,90_and_over,170
Bedok,Kembangan,0_to_4,1440
Bedok,Kembangan,5_to_9,1380
Bedok,Kembangan,10_to_14,1570
Bedok,Kembangan,15_to_19,1870
Bedok,Kembangan,20_to_24,2120
Bedok,Kembangan,25_to_29,2790
Bedok,Kembangan,30_to_34,2730
Bedok,Kembangan,35_to_39,2520
Bedok,Kembangan,40_to_44,2400
Bedok,Kembangan,45_to_49,2580
Bedok,Kembangan,50_to_54,2740
Bedok,Kembangan,55_to_59,3040
Bedok,Kembangan,60_to_64,3280
Bedok,Kembangan,65_to_69,2690
Bedok,Kembangan,70_to_74,1950
Bedok,Kembangan,75_to_79,1270
Bedok,Kembangan,80_to_84,860
Bedok,Kembangan,85_to_89,510
Bedok,Kembangan,90_and_over,330
Bedok,Siglap,0_to_4,160
Bedok,Siglap,5_to_9,240
Bedok,Siglap,10_to_14,260
Bedok,Siglap,15_to_19,350
Bedok,Siglap,20_to_24,350
Bedok,Siglap,25_to_29,420
Bedok,Siglap,30_to_34,330
Bedok,Siglap,35_to_39,340
Bedok,Siglap,40_to_44,470
Bedok,Siglap,45_to_49,510
Bedok,Siglap,50_to_54,460
Bedok,Siglap,55_to_59,490
Bedok,Siglap,60_to_64,490
Bedok,Siglap,65_to_69,430
Bedok,Siglap,70_to_74,460
Bedok,Siglap,75_to_79,330
Bedok,Siglap,80_to_84,240
Bedok,Siglap,85_to_89,110
Bedok,Siglap,90_and_over,60
Bishan,Bishan East,0_to_4,850
Bishan,Bishan East,5_to_9,1180
Bishan,Bishan East,10_to_14,1330
Bishan,Bishan East,15_to_19,1400
Bishan,Bishan East,20_to_24,1580
Bishan,Bishan East,25_to_29,2460
Bishan,Bishan East,30_to_34,2040
Bishan,Bishan East,35_to_39,1800
Bishan,Bishan East,40_to_44,1920
Bishan,Bishan East,45_to_49,2210
Bishan,Bishan East,50_to_54,1920
Bishan,Bishan East,55_to_59,2260
Bishan,Bishan East,60_to_64,2420
Bishan,Bishan East,65_to_69,2100
Bishan,Bishan East,70_to_74,1350
Bishan,Bishan East,75_to_79,870
Bishan,Bishan East,80_to_84,570
Bishan,Bishan East,85_to_89,300
Bishan,Bishan East,90_and_over,150
Bishan,Marymount,0_to_4,1070
Bishan,Marymount,5_to_9,1390
Bishan,Marymount,10_to_14,1630
Bishan,Marymount,15_to_19,1720
Bishan,Marymount,20_to_24,2190
Bishan,Marymount,25_to_29,2590
Bishan,Marymount,30_to_34,1740
Bishan,Marymount,35_to_39,1850
Bishan,Marymount,40_to_44,2080
Bishan,Marymount,45_to_49,2290
Bishan,Marymount,50_to_54,2330
Bishan,Marymount,55_to_59,2590
Bishan,Marymount,60_to_64,2330
Bishan,Marymount,65_to_69,1700
Bishan,Marymount,70_to_74,1100
Bishan,Marymount,75_to_79,660
Bishan,Marymount,80_to_84,390
Bishan,Marymount,85_to_89,220
Bishan,Marymount,90_and_over,130
Bishan,Upper Thomson,0_to_4,930
Bishan,Upper Thomson,5_to_9,1280
Bishan,Upper Thomson,10_to_14,1470
Bishan,Upper Thomson,15_to_19,1620
Bishan,Upper Thomson,20_to_24,1800
Bishan,Upper Thomson,25_to_29,2040
Bishan,Upper Thomson,30_to_34,1650
Bishan,Upper Thomson,35_to_39,1640
Bishan,Upper Thomson,40_to_44,1940
Bishan,Upper Thomson,45_to_49,2360
Bishan,Upper Thomson,50_to_54,2260
Bishan,Upper Thomson,55_to_59,2370
Bishan,Upper Thomson,60_to_64,2390
Bishan,Upper Thomson,65_to_69,1930
Bishan,Upper Thomson,70_to_74,1430
Bishan,Upper Thomson,75_to_79,1010
Bishan,Upper Thomson,80_to_84,710
Bishan,Upper Thomson,85_to_89,450
Bishan,Upper Thomson,90_and_over,240
Boon Lay,Liu Fang,0_to_4,0
